id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,private_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
488631,2010-10-16,2010-10-16,,Guam,,7547,aubreymoore,2013-12-28 04:57:56 UTC,2014-11-19 15:46:37 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/488631,https://static.inaturalist.org/photos/617865/medium.JPG?1388207206,,"","",false,0,0,false,,"UoG Ag Expt Stn, Yigo, Guam",13.531361,144.871066,,,,,,,,false,,,Leptocentrus taurus,Leptocentrus taurus,eggplant horned planthopper,Insecta,155470
576028,2013-07-16 16:00:31,2013-07-16,2013-07-16 06:00:31 UTC,Guam,,7547,aubreymoore,2014-03-20 06:59:56 UTC,2018-06-24 22:47:33 UTC,research,CC-BY,http://www.inaturalist.org/observations/576028,https://static.inaturalist.org/photos/732438/medium.JPG?1395298806,,"",Crab spider with caterpillar prey on flame tree leaves.,false,1,0,false,,Guam,13.430189,144.801201,8,,,,,,,false,,,Flower Spider,Thomisus spectabilis,Flower Spider,Arachnida,202059
607666,"",,,Guam,,7547,aubreymoore,2014-04-04 17:39:47 UTC,2014-11-21 10:05:38 UTC,casual,CC-BY,http://www.inaturalist.org/observations/607666,https://static.inaturalist.org/photos/766294/medium.png?1396633200,,"",Image emailed to Aubrey Moore by Jason Biggs 5 April 2014.,false,1,0,false,,Guam,13.444304,144.793731,29233,,,,,,,false,,,Oleander Hawk-moth,Daphnis nerii,Oleander Hawkmoth,Insecta,51996
848865,2014-08-26,2014-08-26,,Guam,,7547,aubreymoore,2014-08-26 09:09:54 UTC,2018-06-24 08:00:34 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/848865,https://static.inaturalist.org/photos/1074822/medium.jpg?1409044361,,"",A client sent me an image of this spider for ID.,false,1,0,false,,,13.5540307916,144.6616040536,,"Tamuning, Guam",13.496617,144.771131,,obscured,,true,,,Nesticodes rufipes,Nesticodes rufipes,,Arachnida,297992
902778,2014-09-29,2014-09-29,,Guam,,7547,aubreymoore,2014-09-30 10:49:53 UTC,2017-09-19 13:20:20 UTC,research,CC-BY,http://www.inaturalist.org/observations/902778,https://static.inaturalist.org/photos/1150147/medium.JPG?1412074200,,"",Image and observation by Brent Tibbatts.,false,1,0,false,,Guam,13.450838,144.801682,32,,,,,,,false,,,Euconocephalus nasutus,Euconocephalus nasutus,Irritating Grasshopper,Insecta,347888
902782,"",,,Guam,,7547,aubreymoore,2014-09-30 11:11:47 UTC,2014-10-06 00:15:16 UTC,casual,CC-BY,http://www.inaturalist.org/observations/902782,https://static.inaturalist.org/photos/1150155/medium.jpg?1412075510,,"",Image and observation by Dustin Janeke. Feeding on Crotolaria.,false,0,0,false,,Guam,13.444304,144.793731,29233,,,,,,,false,,,Argina astrea,Argina astrea,,Insecta,318525
910638,2014-10-06 9:39:25 AM GMT+10:00,2014-10-06,2014-10-05 23:39:25 UTC,Brisbane,,55131,aubrey,2014-10-06 00:01:20 UTC,2018-09-08 10:56:03 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/910638,https://static.inaturalist.org/photos/1161147/medium.jpg?1412553701,,"",Paper wasp nest blown down by Typhoon Vongfong.,false,3,0,false,48,"Guam, 66010",13.528894,144.871256,6,,,,,,,false,gps,gps,Yellow Oriental Paper Wasp,Polistes olivaceus,Yellow Oriental Paper Wasp,Insecta,318792
956438,2014-10-13 1:05:26 PM GMT+10:00,2014-10-13,2014-10-13 03:05:26 UTC,Guam,,55131,aubrey,2014-10-13 03:21:03 UTC,2014-11-18 18:26:01 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/956438,https://static.inaturalist.org/photos/1306054/medium.JPG?1414446751,,"",Termite nest in Moringa oleifera tree.,false,0,0,false,48,"",13.42993,144.801168,8,,,,,,,false,gps,gps,Nasutitermes,Nasutitermes,,Insecta,122702
956446,2014-07-21,2014-07-21,,Guam,,59398,stevetorres50,2014-10-13 03:37:39 UTC,2018-11-15 02:53:46 UTC,needs_id,,http://www.inaturalist.org/observations/956446,https://static.inaturalist.org/photos/1177551/medium.jpg?1413171602,,"",Found on my window seal inside the house. Very calm creature. ,true,3,0,false,2,"Talofofo, Guam",13.351667,144.753056,10023,,,,,,,false,,,Dictyopharid Planthoppers,Raivuna graminea,,Insecta,415139
956459,2014-10-13 1:53:37 PM GMT+10:00,2014-10-13,2014-10-13 03:53:37 UTC,Brisbane,,59407,sinjinsantos,2014-10-13 03:53:55 UTC,2014-10-18 01:13:07 UTC,needs_id,,http://www.inaturalist.org/observations/956459,https://static.inaturalist.org/photos/1177564/medium.jpg?1413172473,,"","",true,2,0,false,2,"",13.527716,144.902989,32,,,,,,,false,,,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157
1020915,2014-10-16 11:32:34 AM GMT+10:00,2014-10-16,2014-10-16 01:32:34 UTC,Brisbane,,59407,sinjinsantos,2014-10-16 03:33:57 UTC,2014-11-18 18:27:07 UTC,needs_id,,http://www.inaturalist.org/observations/1020915,https://static.inaturalist.org/photos/1270399/medium.jpg?1413431196,,"",Isoptera nest on a Moringa oleifera tree.,false,1,0,false,2,"Guam Memorial Park and Funeral home, maintenance shop.  ",13.457629,144.795266,44,,,,,,,false,,,Isoptera,Termitoidae,Termites,Insecta,118903
1034862,2014-10-24 5:47:32 PM GMT+10:00,2014-10-24,2014-10-24 07:47:32 UTC,Guam,,55131,aubrey,2014-10-24 07:53:24 UTC,2018-06-24 07:56:10 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1034862,https://static.inaturalist.org/photos/1326374/medium.jpg?1415273398,,"",Thanks to Alex Kerr for help with ID,false,1,1,false,48,"Guam, 66010",13.532307,144.871669,3,,,,,,,false,gps,gps,Opadometa fastigata,Opadometa fastigata,,Arachnida,146929
1053699,2014-10-20,2014-10-20,,Guam,,62154,michellesablan,2014-11-04 01:38:28 UTC,2018-11-15 04:45:06 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1053699,https://static.inaturalist.org/photos/1321583/medium.jpg?1415065133,,"",caught in net,false,2,0,false,2,Yigo Ag Expt Stn,13.530122,144.872589,168,,,,,,,false,gps,gps,Skimmers,Pantala flavescens,Wandering Glider,Insecta,108344
1053769,2014-11-04 12:16:08 PM GMT+10:00,2014-11-04,2014-11-04 02:16:08 UTC,Brisbane,,62154,michellesablan,2014-11-04 02:10:34 UTC,2018-11-03 06:30:04 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1053769,https://static.inaturalist.org/photos/1321666/medium.jpg?1415067052,,"","",false,1,0,false,2,"Guam, 66010",13.4328046,144.8033781,49,,,,,,,false,gps,gps,Mantises,Hierodula patellifera,Giant Asian Mantis,Insecta,328037
1053815,2014-09-29,2014-09-29,,Guam,,62154,michellesablan,2014-11-04 02:25:42 UTC,2018-04-23 00:21:52 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1053815,https://static.inaturalist.org/photos/1321726/medium.jpg?1415067964,,"",caught in net,false,1,0,false,2,university of guam,13.43029,144.80032,,,,,,,,false,gps,gps,Valanga excavata,Valanga excavata,,Insecta,560856
1053816,2014-09-22,2014-09-22,,Guam,,62154,michellesablan,2014-11-04 02:25:45 UTC,2018-11-15 02:36:20 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1053816,https://static.inaturalist.org/photos/1321728/medium.jpg?1415067980,,"",mating on a tree bark,false,1,0,false,2,"university of guam, guam",13.430154,144.800717,,,,,,,,false,gps,gps,"Grasshoppers, Crickets, and Katydids",Oxya japonica,Japanese rice grasshopper,Insecta,363699
1053817,2014-09-28,2014-09-28,,Guam,,62154,michellesablan,2014-11-04 02:25:24 UTC,2018-05-27 21:57:06 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1053817,https://static.inaturalist.org/photos/1321729/medium.jpg?1415067992,,"","",false,2,0,false,2,"barrigada fire station,guam",13.469836,144.800709,,,,,,,,false,gps,gps,Phaneropterinae,Phaneropterinae,Phaneropterine Katydids,Insecta,48128
1053818,2014-09-20,2014-09-20,,Guam,,62154,michellesablan,2014-11-04 02:25:26 UTC,2018-12-21 19:00:54 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1053818,https://static.inaturalist.org/photos/1321730/medium.jpg?1415068003,,"",found in the lazy river,false,2,0,false,2,"guam plaza,guam",13.498389,144.775108,209,,,,,,,false,gps,gps,Coconut Rhinoceros Beetle,Oryctes rhinoceros,Coconut Rhinoceros Beetle,Insecta,320058
1053840,2014-10-10,2014-10-10,,Guam,,62154,michellesablan,2014-11-04 02:36:00 UTC,2018-07-15 07:22:05 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1053840,https://static.inaturalist.org/photos/1321749/medium.jpg?1415068581,,"","",false,1,0,false,2,"Guam, 66010",13.451149,144.805909,,,,,,,,false,gps,gps,Earwigs,Dermaptera,Earwigs,Insecta,47793
1053841,2014-09-09,2014-09-09,,Pacific Time (US & Canada),,62154,michellesablan,2014-11-04 02:36:02 UTC,2018-07-15 07:21:58 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1053841,https://static.inaturalist.org/photos/1391083/medium.jpg?1417484239,,"",UOG bushes across the ALS rm 124,false,2,0,false,2,"university of guam, guam",13.430488,144.800352,,,,,,,,false,gps,gps,Lady Beetles,Coccinellidae,Lady Beetles,Insecta,48486
1057101,"",,,Guam,,62431,wsantos671,2014-11-06 02:04:03 UTC,2018-11-15 02:35:49 UTC,casual,CC-BY-NC,http://www.inaturalist.org/observations/1057101,https://static.inaturalist.org/photos/1325619/medium.jpg?1415239460,,"",Wasp,true,1,0,false,,"Guam, 66010",13.4328,144.803371,14,,,,,,,false,,,"Ants, Bees, Wasps, and Sawflies",Eumeninae,Potter and Mason Wasps,Insecta,119344
1059424,2014-11-02,2014-11-02,,Guam,,7547,aubreymoore,2014-11-07 08:10:44 UTC,2018-11-15 02:35:33 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/1059424,https://static.inaturalist.org/photos/1328408/medium.jpg?1415347882,,"",on banana fruit in field; coll. by Jason Andrew,true,1,0,false,,Ordot. Guam,13.440631,144.772017,2067,,,,,,,false,,,Cockroaches and Termites,Blaberidae,Giant Cockroaches,Insecta,84636
1066165,2014-09-22,2014-09-22,,Guam,,59411,samfrias21,2014-11-10 03:18:23 UTC,2018-09-04 05:31:27 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1066165,https://static.inaturalist.org/photos/1336392/medium.JPG?1415589507,,"","",false,2,0,false,,University of Guam,13.430583,144.800673,32,,,,,,,false,,,Ensign Wasps,Evaniidae,Ensign Wasps,Insecta,199595
1066212,2014-10-15,2014-10-15,,Guam,,59411,samfrias21,2014-11-10 03:46:02 UTC,2018-02-21 03:46:02 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1066212,https://static.inaturalist.org/photos/1336495/medium.JPG?1415591529,,"","",false,1,0,false,,Barrigada Guam,13.469097,144.798714,58,,,,,,,false,,,Calyptrates,Calyptratae,Calyptrate Flies,Insecta,342767
1066282,2014-10-27,2014-10-27,,Guam,,62440,goroborja,2014-11-10 04:23:20 UTC,2018-07-15 07:21:46 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1066282,https://static.inaturalist.org/photos/1336572/medium.JPG?1415593440,,"","",false,1,0,false,,University of Guam,13.431365,144.802701,209,,,,,,,false,,,Damselflies,Zygoptera,Damselflies,Insecta,47928
1066298,2014-10-27,2014-10-27,,Guam,,62440,goroborja,2014-11-10 04:35:25 UTC,2015-11-18 04:33:13 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/1066298,https://static.inaturalist.org/photos/1336589/medium.JPG?1415594136,,"","",false,1,0,false,,University of Guam,13.431991,144.803109,209,,,,,,,false,,,monarch butterfly (Danaus plexippus) - Order Lepidoptera,Danaus plexippus,Monarch,Insecta,48662
1066331,2014-10-20,2014-10-20,,Guam,,62981,kerina_eria,2014-11-10 04:48:01 UTC,2018-11-15 02:34:46 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1066331,https://static.inaturalist.org/photos/1336615/medium.jpg?1415594889,,"","",false,2,0,false,,University of guam,13.430217,144.800593,32,,,,,,,false,,,Katydids,Rectimarginalis fuscospinosa,,Insecta,560789
