dataset_doi	dataset_key	dataset_title	dataset_citation	number_records
10.15468/ab3s5x	50c9509d-22c7-4a22-a47d-8c48425ef4a7	iNaturalist Research-grade Observations		923
10.1590/s0073-47212003000400008	32bd22ce-7d3f-4eac-8203-e9f61a19c7f0	Revision Of Brachystethus (Heteroptera, Pentatomidae, Edessinae)	Barcellos, Aline, Grazia, Jocélia (2003): Revision Of Brachystethus (Heteroptera, Pentatomidae, Edessinae). Iheringia, Sér. Zool. 93 (4): 413-446, DOI: 10.1590/S0073-47212003000400008	6
10.5281/zenodo.5159555	13d05d68-bf03-4cfb-b96c-b7017e829854	Elaterid And Eucnemid Beetles Of Guam	Van Zwaluwenburg, R. H. (1942): Elaterid And Eucnemid Beetles Of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 53-55, DOI: http://doi.org/10.5281/zenodo.5159555	17
10.5281/zenodo.5163626	607dcc60-66ea-494e-b613-ee258734404c	Trypetidae, Otitidae, Helomyzidae, And Clusiidae of Guam (Diptera)	Mailoch, J. R. (1942): Trypetidae, Otitidae, Helomyzidae, And Clusiidae of Guam (Diptera). In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 201-210, DOI: http://doi.org/10.5281/zenodo.5163626	28
10.15468/m0hef7	95f74c02-f762-11e1-a439-00145eb45e9a	Gunma Museum of Natural History, Insect Specimen		17
10.5281/zenodo.5173934	e7ce9dca-1d2b-4aad-8471-7ea2c177da53	Hemiptera Heteroptera of Guam	Usinger, Robert L. (1946): Hemiptera Heteroptera of Guam. In: Insects of Guam II. Honolulu, Hawaii: Bernice P. Bishop Museum, Bulletin 189: 11-103, DOI: http://doi.org/10.5281/zenodo.5173934	396
10.5281/zenodo.5159434	25a9c8d4-a695-4a1a-88b1-080201b8e616	Rhipiceridae Of Guam	Zimmerman, Elwood C. (1942): Rhipiceridae Of Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum: 45-46, DOI: http://doi.org/10.5281/zenodo.5159434	9
10.11646/zootaxa.4671.2.9	ac9a4b1b-b3d2-4bb0-9ed3-0232012e96c2	On the origin of Anagyrus callidus (Hymenoptera: Encyrtidae), a parasitoid of pink hibiscus mealybug Maconellicoccus hirsutus (Hemiptera: Pseudococcidae)	Triapitsyn, Serguei V., Andreason, Sharon A., Dominguez, Chrysalyn, Perring, Thomas M. (2019): On the origin of Anagyrus callidus (Hymenoptera: Encyrtidae), a parasitoid of pink hibiscus mealybug Maconellicoccus hirsutus (Hemiptera: Pseudococcidae). Zootaxa 4671 (2): 283-289, DOI: https://doi.org/10.11646/zootaxa.4671.2.9	1
10.15468/s1hm8r	beed1b50-8c73-11dc-aaed-b8a03c50a862	Australian National Insect Collection	Australian National Insect Collection	102
10.15468/sbmztx	d8cd16ba-bb74-4420-821e-083f2bac17c2	INSDC Sequences		107
10.15468/jb9tdf	26098c25-8f7f-4c71-97ac-1d3db181c65e	NMNH Material Samples (USNM)	Orrell T,  (2023): NMNH Material Samples (USNM). v1.48. National Museum of Natural History, Smithsonian Institution. Dataset/Occurrence. https://collections.nmnh.si.edu/ipt/resource?r=nmnh_material_sample&v=1.48	1
10.5281/zenodo.5159783	204ef7e8-5ba9-4591-8275-598a53611feb	Psyllidae from Guam	Cadwell, J. S. (1942): Psyllidae from Guam. In: Insects of Guam I. Honolulu, Hawaii: Bernice P. Bishop Museum Bulletin 172: 20-22, DOI: http://doi.org/10.5281/zenodo.5159783	38
10.5281/zenodo.273767	daea9e8b-0c17-46ba-8d74-9990b408f14a	New ants (Hymenoptera: Formicidae) from Micronesia	Clouse, Ronald M. (2007): New ants (Hymenoptera: Formicidae) from Micronesia. Zootaxa 1475: 1-19, DOI: 10.5281/zenodo.273767	1
